abalone	2793,5509,7072,8690
all	3,29,32,35,53,61,82,82,103,114,119,350,356,390,461,472,500,507,514,544,552,585,586,587,591,681,707,768,774,789,818,840,887,918,958,970,973,1008,1039,1082,1111,1182,1192,1198,1206,1242,1251,1296,1327,1330,1338,1349,1403,1414,1414,1414,1492,1523,1573,1632,1680,1707,1788,1799,1832,1867,1874,1879,1902,1989,2006,2035,2044,2045,2086,2086,2132,2169,2192,2199,2203,2206,2238,2267,2299,2314,2319,2320,2398,2417,2422,2422,2443,2447,2513,2557,2567,2569,2572,2577,2584,2600,2600,2602,2617,2671,2673,2719,2746,2781,2807,2947,2964,3002,3054,3056,3120,3123,3134,3136,3139,3139,3177,3194,3208,3212,3237,3241,3270,3307,3340,3375,3475,3487,3489,3516,3538,3540,3542,3580,3664,3769,3809,3822,3874,3893,3943,3971,3987,4015,4035,4089,4103,4111,4187,4206,4261,4263,4303,4316,4316,4350,4350,4368,4384,4398,4667,4700,4710,4712,4716,4758,4761,4776,4813,4817,4990,4994,5060,5068,5080,5102,5110,5126,5170,5200,5227,5241,5244,5260,5296,5323,5379,5455,5471,5497,5506,5607,5735,5787,5798,5818,5831,5922,5973,6126,6166,6191,6193,6224,6230,6702,6707,6710,6738,6740,6740,6789,6838,6872,6903,6944,6951,6953,6963,7032,7060,7073,7133,7133,7152,7152,7176,7354,7368,7436,7444,7499,7512,7570,7573,7600,7605,7652,7741,7750,7786,7815,7817,7907,7959,7990,8011,8168,8220,8222,8253,8340,8341,8348,8371,8383,8394,8445,8587,8589,8633,8639,8712,8751,8844,8880,8881,8884,8897,8897,8997,9008,9049,9085,9092,9106,9158,9175,9212,9232,9249,9254,9265,9341,9375,9375,9478,9486,9494,9509,9512,9533,9546,9555,9574,9650,9654,9677,9859,9866,9918,9943,9980,10009,10014,10094,10162,10171,10191,10199,10251,10258,10264,10276,10280,10296,10314,10335,10389,10427,10433,10434,10437,10482,10494,10698,10741,10755,10834,10943,10982,11011,11011,11033,11083,11085,11099,11112,11134,11266,11287,11300,11311,11313,11348,11358,11450,11464,11529,11529,11559,11791,11804,11907,11909,11952,11993,12070,12078,12125,12173,12195,12201,12214,12219,12269,12305,12372,12388,12428,12433,12476,12497,12522,12558,12568,12636,12704,12706,12820,12832,12832,12905,12924,13049,13057,13183
allan	1599,12956
alleged	4613
alley	7560,7867,11162
alliance	8975,12110
allied	8980,8991,12109,12722
allies	8977
alligators	1778
allotted	11417
allow	111,942,1070,1658,2215,2497,2542,2585,2862,3085,3278,4744,5962,8577,8653,9030,9579,10092,11643
allowable	53
allowance	11250
allowed	692,880,1836,1962,2153,2650,3938,3967,7410,8561,8799,9169,9482
allows	2944,3097
allude	8373
allure	3445,4281,12894
allured	5211
alluring	4526
allusion	3762,11645
ally	353
almighty	13087
almond	3986
almost	339,368,659,697,2157,2357,2834,3995,4049,4363,4706,4850,4987,5892,5919,6046,6730,7009,7344,7929,8633,9353,9701,9840,11716,11827,12345,12960
aloes	8545,9518
aloft	5210,10289
alone	990,1873,2397,2418,2612,3151,4439,7411,7411,7877,8373,9020,10095,10290,11517,12303,12484
along	610,918,1022,1143,1391,1395,1518,1630,2099,3361,3363,3508,3641,3760,4056,4320,4361,4471,4490,4493,4659,4718,4784,4828,4932,5186,5726,5770,5785,6166,6234,6766,6802,6886,7017,7281,7615,7620,7725,7911,8086,8140,8142,8155,8163,8167,8175,8566,8581,8779,8791,8860,9132,9204,9260,9337,9350,9424,9548,9667,9970,10220,10268,10312,10539,10579,10662,10696,10767,10770,10861,10874,10875,10878,11099,11137,11246,11600,11622,12133,12156,12506,13092,13134
alongside	4620,5171,5176,6797,7267,9710,10188,11770
alpenstock	9142,9163,9203
alpenstocks	9152
already	134,669,979,1176,1179,1400,1901,2146,2335,2729,2739,2951,2967,3079,3380,3689,3986,4129,4133,4156,4176,4293,4443,4580,4649,4846,4861,4891,5055,5139,5346,5447,5570,6094,6130,7014,7036,7050,7321,7342,7412,7642,7698,7780,7986,8107,8501,8734,9100,9142,9280,9698,10094,10146,10221,10227,10261,10285,10312,10337,10347,10373,10393,10412,10456,10491,10850,10933,11219,11278,11652,11997,12163,12212,12427,12654,13093
also	69,93,130,619,847,1465,1507,2691,3009,3162,3355,3649,3763,4046,4402,4671,4706,4790,4803,5280,5510,5779,5806,5984,6162,6702,6729,6766,6771,6822,6833,7010,7108,7332,7653,7720,7886,8038,8098,8311,8369,8378,8385,8622,8688,9168,9340,9566,9604,9703,9717,10140,10614,10619,10630,10838,11065,11893,11899,11966,12200,12317,12454,12518,12642,12963,13180
altar	11893
alter	122
alteration	115,697
altering	10280
alternately	4792,9938
alternatively	107,107
alternatives	661
although	127,410,489,626,1596,2130,3554,3649,3805,4137,4149,4263,4523,4863,5330,5575,6882,6953,7831,8049,8187,8355,8520,8596,8683,9148,9679,9933,10529,11274,11662
altitude	1416,2861,3312,4807,6722,9108,9562,10050,10785,10791,12576
altogether	4049,8942
alvaro	4810
always	714,853,862,973,1187,2857,3300,4172,4750,4913,6695,6757,6824,6825,7084,7275,8105,8227,9400,9722,10268,10519,11418,11891,12834,12951,12952
am	2524,3054,5588,6061,7536,7877,9944,12750
amalgam	2916
amanthia	8706
amass	2720
amassed	1206,3649,8418,13026
amassing	9044
amaze	7825
amazed	4503,7832
amazement	1997,2503,2729,10276
amazes	6891,7827
amazing	1669
amazingly	1152
amazon	291,8781,9655,11502,11639,11659,11750,12149
amboina	6886
amenable	6144,8971
america	346,460,497,641,705,961,1143,1200,2372,2395,3281,3342,6760,7190,8263,8693,8921,8978,9021,9294,9578,9637,9963,11554,11557,11627,11632,12358,12484,12497,12541,12547,12616
american	610,766,920,1135,1148,1215,1468,1485,2252,2781,3193,4682,7132,8913,9730,10263,10578,10877,10888,11622,11763,11804,12132,12168,12177,12439,12562,12689
americans	688,1888,4036,6272,12483,12528
amethysts	10234
amid	514,908,1165,3880,4178,4556,6185,9247,9353,10654,10663,10745,12073,12419,12952
amidships	2967,2974
amiens	6954
ammianus	9273
ammonia	7163,7681
ammunition	5228
among	93,98,100,122,669,956,1778,2071,2424,2447,2499,2652,2673,2684,2727,2767,2770,2775,3569,3650,3653,4266,4374,4398,4475,4539,4789,4793,5155,5469,5634,6749,6751,6762,7353,7364,7659,8377,8377,8575,8693,8706,8709,8712,9191,9357,9510,9654,9698,9744,10320,10616,10627,10716,10718,10750,11075,11256,11650,11657,11797,11800,11822,11827,11960,12109,12157,12162,12428,12447,12447,12957,13162
amorous	514
amount	2132,3270,5272,7133,8760,9767,9873,9886,11311
amounted	2305
amounts	588,2890,4317,7637
amphibians	6198
amphibious	1778
amphipods	8717
ample	2934,5110,8674,8991
amplitude	9309
amply	2603
amulets	5555
amused	10457
anal	11668,11671
analysts	1946
analyzed	40
analyzing	2748
anatomically	10191
anatomists	1938
ancestors	5775
anchor	2592,4636,4645,4651,4659,4668,4679,4682,4705,7298,7502,7911,8740
anchors	4468,4639,4667,4699,4902,8734
anchovies	8619
ancient	501,2673,7140,7615,7735,8368,8380,8582,8605,8614,8707,9271,9275,9636
ancients	2592,2739,6157,6837,7666,7714,7725,7741,7765,7801,7810,8383,8604,8779,10707
andaman	4814,7009
anderson	567,570,576,12535
andes	9655
anecdotes	2589
anemone	2585,4026,4115,4115,4696,6193,7659,9340,9660,11650
anemones	8680
aneurysms	1193
anew	2319,5912,11936
angel	1306,4030,5860
angelfish	3598,11807
anger	1397,1542,2021,2421,4289,5924,8063,9842,10188,10750
angered	8894
angle	3165,4015,6823,9740,11033,11074
anglerfish	4270
anglers	4270
angles	374,3319,5891,9208
anglo	1987,4766,6082,12432
anguish	1194,12893
anguished	5987
animal	385,390,586,654,669,671,681,721,768,802,897,942,952,1038,1109,1111,1165,1174,1178,1187,1227,1323,1326,1341,1347,1384,1411,1414,1427,1438,1465,1510,1522,1540,1548,1552,1557,1568,1571,1783,2071,2602,3300,3883,3890,4112,4137,4156,4182,4189,4203,4303,4519,4789,4963,5133,5244,5312,5515,6157,6158,6837,6851,6851,7360,7404,7453,7470,7664,7665,7666,7936,7952,7962,7971,7994,8002,8008,8033,8044,8053,8058,8063,8065,8081,8086,9552,9558,9754,9784,9931,9942,9963,10009,10132,10149,10190,10197,10676,10678,10835,11697,11707,11738,11816,11893,11924,11927,11957,11970,12066,12457
animals	658,667,694,696,862,1095,1392,1778,2101,2579,2604,3472,3583,4100,4142,4157,4220,4297,4322,4327,4330,4391,4398,4487,4518,4521,4918,5237,5319,5330,5778,5851,5864,6161,6754,6778,6789,6869,6872,7010,7999,8377,8602,8606,8704,8745,9229,9290,9291,9360,9704,9744,9769,9928,9970,9995,10015,10053,10065,10094,10111,10158,10181,10642,10685,10703,10713,10722,10750,10757,10928,11659,11712,11730,11827,11845,11912,11918,11963,11981
animation	1992,9044
anjou	8972
annals	2746,9280
annelid	7383,9782,11800
annelida	8702,8719
annex	866
announced	8377,9296,12679
announcement	34,8818,10463,12267
announces	10231
announcing	10925
annoyed	4866
annual	135,6937,7132
annually	587,7127,10755
anomaly	4111
anomura	8705,8712
anonymous	78
another	484,494,697,765,997,1070,1199,1714,2222,2504,2959,3950,4198,4913,5014,5018,5134,7009,7922,8347,8383,8404,9193,9280,9705,9705,9706,10152,10785,11220,11418,11460,11602,11634,11770,11898,12530,12705,12779,12797
answer	1114,1708,2019,2252,2375,2491,2866,2895,2899,3385,3401,3767,5379,5949,6818,6884,8232,8967,10982,11448,12284,12561,13021
answerable	2426
answered	1254,1306,1338,1716,1734,2184,2202,2209,2237,2291,2367,2561,2574,2579,2746,2814,3056,3220,3325,3370,3374,3739,3763,3771,4480,4598,4870,4909,5032,5195,5586,5590,5672,5938,5973,6953,6994,7318,7533,7722,7739,7873,8015,8205,8401,8493,9008,9421,9497,9500,9529,9751,9847,9861,9957,9980,10011,10184,10343,10395,10433,10565,10726,10796,10968,11017,11284,11389,11523,11694,11838,12013,12233
answering	1469,5897,12082,13103
answers	3855
antarctic	393,3278,5782,9934,10221,10268,10285,10312,10385,10503,10578,10607,10617,10632,10656,10656,10836,10881,10921,11557
antenna	9220
antennas	4270,7384
anthias	8386
anthill	12891
anticipate	360
anticipated	11773
anticipation	12872
antics	1191
antilles	11634
antipodes	770,2048
antiquity	2729,4390,6921,8383,8779,11654,11903
antisocial	1841
antonine	7805
antony	8385
ants	5683
anville	9272
anxieties	3756
anxiety	578,8889,13033
anxious	1137,1160,7050
any	29,29,34,40,69,72,95,95,100,103,106,109,109,114,116,119,124,464,467,568,585,587,610,611,613,787,948,1002,1018,1332,1639,1826,1896,2127,2143,2193,2215,2215,2240,2285,2296,2442,2666,2687,2883,2971,3027,3164,3194,3249,3391,3452,3555,3836,3890,3967,4127,4267,4642,4664,4683,4862,4963,5076,5379,5423,5447,5509,5686,5688,5946,6019,6094,7038,7168,7403,7412,7414,7767,7780,7814,8219,8228,8311,8347,8353,8458,8473,8525,8589,8619,8847,8905,9079,9134,9195,9345,9345,9374,9423,9424,9444,9444,9509,9611,9624,9650,9671,9749,9859,10119,10154,10272,10285,10300,10314,10322,10348,10354,10578,10642,10765,10776,10998,11075,11244,11285,11300,11484,11579,11725,11853,11907,11997,12196,12200,12291,12348,12414,12458,12546,12551,12592,12715,12807,12957,12957,12977
anybody	3915,11914
anyhow	831,2206,3538,4613,6995,9084,9147,11983
anyone	1993,4002,4007,5742,6737,6841,13167
anything	472,848,852,1022,1049,1202,2295,3636,3794,4022,4902,7034,7832,7924,7975,8826,9303,9921,10014,11239,12288,12313,12316
anywhere	2021
apace	12533
apai	4706
apart	11744,12258
apartment	1254
apathy	1228
apes	696,5381
aphroessa	8503,8504
apiece	7671,8614
aplacental	5328
aplysia	8688
apods	3502
apoplexy	6965
appalled	350
apparent	9486
apparently	531,715,1343,1797,1964,1997,3979,5960,8049,9736,10765,10947,11130
apparition	466,474,4134,8387
appear	1224,2304,3592,3705,5892,6041,8555,9200,10786,10954,13037
appearance	971,1924,2834,4007,4256,5397,5928,6791,6892,7359,7611,7629,7770,8440,8907,9108,9455,9664,10644,10763,10773,11623,11975,12200,12427
appearances	714,4406,12963
appeared	187,807,1204,1220,1697,1838,1845,1848,1928,2330,2531,2685,3274,3364,3420,3589,3689,4194,4258,4520,5083,5171,5388,5697,5733,5869,6045,6236,6927,7428,7447,7526,7649,7652,7917,7979,8086,8389,8425,8501,8503,8507,8585,8949,9311,9548,10233,10311,10460,10544,10668,11560,11596,11985,12724,12730,12900
appearing	1182,10650
appeased	2088,4664,13179
appendage	11662,12055
appendages	8704
appetite	5056,9555,10813,13013
appetites	384,2088
appetizers	5244
appetizing	3809
applauding	10149
applicable	134
application	783,10685
applied	12960
applies	8311
apply	98,111,365
appointed	7597
appreciably	8659,8941,9481,12875
appreciate	2418,3269,5030,12966
appreciation	11520
approach	1510,4161,4592,5186,5252,10670,12684,12817,12853
approachable	1345
approached	1536,1568,2668,3692,4202,4563,4865,5393,6223,6230,7397,7403,8044,8467,8826,8905,10300,10720,11148,11606,11924
approaches	10760
approaching	5889,6094,6812,7280,9146,9172,9983,11037,12182,12328,12725
appropriate	1353,2081,7241,8705
appropriately	3298,5686,8701,9739
approval	2712
approved	7644
approving	10659
april	555,651,4645,11584,11625,11627,11632,11638,11648,11710,11768,11820,12097,12614
apt	11287
apteronotus	11666
aptly	1933,3200,3461,6164,6792,6850,10630,13120
aqaba	8103
aquarium	3435,3544,3546,12011
aquatic	481,1866,2136,2576,3305,3574,4179,4279,6747,6757,7309,8613,10258
aqueduct	9260
aqueous	3991
aquiver	2617,6126,11804
arab	7620,7717,7909
arabesques	2719
arabia	543,7558,7580,7802,7806,8103
arabian	267,7853,7896,8130
arabic	7615,7627,7886,10942
arabs	2037
arachne	8630
arago	1105,1997,2679
aral	3356
arbor	4040,4121
arbors	7357
arc	948,1940,6729,10770
arch	3512,6184
archaeology	7797
archaeotherium	824
archangel	12905
archduke	8975
arched	9779,11803
archerfish	6783
arches	3508,4086,6233,9259
archimedes	3987
arching	6753,8694,10630
archipelago	510
architecture	6183,7389,9260,9510
archive	63,63
arctic	500,982,3278,4098,4304,9934,10226,12433,12452,12952
arduous	762,4173,4206,5660,10842,11297,11786
